protein_id,contig_id,keywords
OR397123_0001,OR397123,none
OR397123_0002,OR397123,none
OR397123_0003,OR397123,none
OR397123_0004,OR397123,none
OR397123_0005,OR397123,none
OR397123_0006,OR397123,none
OR397123_0007,OR397123,none
OR397123_0008,OR397123,none
OR397123_0009,OR397123,none
OR397123_0010,OR397123,none
OR397123_0011,OR397123,none
OR397123_0012,OR397123,none
OR397123_0013,OR397123,none
OR397123_0014,OR397123,none
OR397123_0015,OR397123,none
OR397123_0016,OR397123,none
OR397123_0017,OR397123,none
OR397123_0018,OR397123,none
OR397123_0019,OR397123,none
OR397123_0020,OR397123,none
OR397123_0021,OR397123,none
OR397123_0022,OR397123,none
OR397123_0023,OR397123,none
OR397123_0024,OR397123,none
OR397123_0025,OR397123,none
OR397123_0026,OR397123,none
OR397123_0027,OR397123,none
OR397123_0028,OR397123,none
OR397123_0029,OR397123,none
OR397123_0030,OR397123,none
OR397123_0031,OR397123,none
OR397123_0032,OR397123,none
OR397123_0033,OR397123,none
OR397123_0034,OR397123,none
OR397123_0035,OR397123,none
OR397123_0036,OR397123,none
OR397123_0037,OR397123,none
OR397123_0038,OR397123,none
OR397123_0039,OR397123,none
OR397123_0040,OR397123,none
OR397123_0041,OR397123,none
OR397123_0042,OR397123,none
OR397123_0043,OR397123,none
OR397123_0044,OR397123,none
OR397123_0045,OR397123,none
OR397123_0046,OR397123,none
OR397123_0047,OR397123,none
OR397123_0048,OR397123,none
OR397123_0049,OR397123,none
OR397123_0050,OR397123,none
OR397123_0051,OR397123,none
OR397123_0052,OR397123,none
OR397123_0053,OR397123,none
OR397123_0054,OR397123,none
OR397123_0055,OR397123,none
OR397123_0056,OR397123,none
OR397123_0057,OR397123,none
OR397123_0058,OR397123,none
OR397123_0059,OR397123,none
OQ703261_0001,OQ703261,none
OQ703261_0002,OQ703261,none
OQ703261_0003,OQ703261,none
OQ703261_0004,OQ703261,none
OQ703261_0005,OQ703261,none
OQ703261_0006,OQ703261,none
OQ703261_0007,OQ703261,none
OQ703261_0008,OQ703261,none
OQ703261_0009,OQ703261,none
OQ703261_0010,OQ703261,none
OQ703261_0011,OQ703261,none
OQ703261_0012,OQ703261,none
OQ703261_0013,OQ703261,none
OQ703261_0014,OQ703261,none
OQ703261_0015,OQ703261,none
OQ703261_0016,OQ703261,none
OQ703261_0017,OQ703261,none
OQ703261_0018,OQ703261,none
OQ703261_0019,OQ703261,none
OQ703261_0020,OQ703261,none
OQ703261_0021,OQ703261,none
OQ703261_0022,OQ703261,none
OQ703261_0023,OQ703261,none
OQ703261_0024,OQ703261,none
OQ703261_0025,OQ703261,none
OQ703261_0026,OQ703261,none
OQ703261_0027,OQ703261,none
OQ703261_0028,OQ703261,none
OQ703261_0029,OQ703261,none
OQ703261_0030,OQ703261,none
OQ703261_0031,OQ703261,none
OQ703261_0032,OQ703261,none
OQ703261_0033,OQ703261,none
OQ703261_0034,OQ703261,none
OQ703261_0035,OQ703261,none
OQ703261_0036,OQ703261,none
OQ703261_0037,OQ703261,none
OQ703261_0038,OQ703261,none
OQ703261_0039,OQ703261,none
OQ703261_0040,OQ703261,none
OQ703261_0041,OQ703261,none
OQ703261_0042,OQ703261,none
OQ703261_0043,OQ703261,none
OQ703261_0044,OQ703261,none
OQ703261_0045,OQ703261,none
OQ703261_0046,OQ703261,none
OQ703261_0047,OQ703261,none
OQ703261_0048,OQ703261,none
OQ703261_0049,OQ703261,none
OQ703261_0050,OQ703261,none
OQ703261_0051,OQ703261,none
OR397124_0001,OR397124,none
OR397124_0002,OR397124,none
OR397124_0003,OR397124,none
OR397124_0004,OR397124,none
OR397124_0005,OR397124,none
OR397124_0006,OR397124,none
OR397124_0007,OR397124,none
OR397124_0008,OR397124,none
OR397124_0009,OR397124,none
OR397124_0010,OR397124,none
OR397124_0011,OR397124,none
OR397124_0012,OR397124,none
OR397124_0013,OR397124,none
OR397124_0014,OR397124,none
OR397124_0015,OR397124,none
OR397124_0016,OR397124,none
OR397124_0017,OR397124,none
OR397124_0018,OR397124,none
OR397124_0019,OR397124,none
OR397124_0020,OR397124,none
OR397124_0021,OR397124,none
OR397124_0022,OR397124,none
OR397124_0023,OR397124,none
OR397124_0024,OR397124,none
OR397124_0025,OR397124,none
OR397124_0026,OR397124,none
OR397124_0027,OR397124,none
OR397124_0028,OR397124,none
OR397124_0029,OR397124,none
OR397124_0030,OR397124,none
OR397124_0031,OR397124,none
OR397124_0032,OR397124,none
OR397124_0033,OR397124,none
OR397124_0034,OR397124,none
OR397124_0035,OR397124,none
OR397124_0036,OR397124,none
OR397124_0037,OR397124,none
OR397124_0038,OR397124,none
OR397124_0039,OR397124,none
OR397124_0040,OR397124,none
OR397124_0041,OR397124,none
OR397124_0042,OR397124,none
OR397124_0043,OR397124,none
OR397124_0044,OR397124,none
OR397124_0045,OR397124,none
OR397124_0046,OR397124,none
OR397124_0047,OR397124,none
OR397124_0048,OR397124,none
OR397124_0049,OR397124,none
OR397124_0050,OR397124,none
OR397124_0051,OR397124,none
OR397124_0052,OR397124,none
OR397124_0053,OR397124,none
OR397124_0054,OR397124,none
OR397124_0055,OR397124,none
OR397124_0056,OR397124,none
OR397124_0057,OR397124,none
OR397124_0058,OR397124,none
OR397124_0059,OR397124,none
OR397124_0060,OR397124,none
OR397124_0061,OR397124,none
OR397124_0062,OR397124,none
OR397124_0063,OR397124,none
OR397124_0064,OR397124,none
OR397124_0065,OR397124,none
OR397124_0066,OR397124,none
OR397124_0067,OR397124,none
OR397124_0068,OR397124,none
OR397124_0069,OR397124,none
OR397124_0070,OR397124,none
OR397124_0071,OR397124,none
OR397124_0072,OR397124,none
OR397124_0073,OR397124,none
OR397124_0074,OR397124,none
OR397124_0075,OR397124,none
OR397124_0076,OR397124,none
OR397124_0077,OR397124,none
OR397124_0078,OR397124,none
OR397124_0079,OR397124,none
OR397124_0080,OR397124,none
OR397124_0081,OR397124,none
OR397124_0082,OR397124,none
OR397124_0083,OR397124,none
OR397124_0084,OR397124,none
OR397124_0085,OR397124,none
OR397124_0086,OR397124,none
OR397124_0087,OR397124,none
OR397124_0088,OR397124,none
OR397124_0089,OR397124,none
OR397124_0090,OR397124,none
OR397124_0091,OR397124,none
OR397124_0092,OR397124,none
OR397124_0093,OR397124,none
OR397124_0094,OR397124,none
OR397124_0095,OR397124,none
OR397124_0096,OR397124,none
OR397124_0097,OR397124,none
OR397124_0098,OR397124,none
OR397124_0099,OR397124,none
OR397124_0100,OR397124,none
OR397124_0101,OR397124,none
OR397124_0102,OR397124,none
OR397124_0103,OR397124,none
OR397124_0104,OR397124,none
OR397124_0105,OR397124,none
OR397124_0106,OR397124,none
OR397124_0107,OR397124,none
OR397124_0108,OR397124,none
OR397124_0109,OR397124,none
OR397124_0110,OR397124,none
OR397124_0111,OR397124,none
OR397124_0112,OR397124,none
OR397124_0113,OR397124,none
OR397124_0114,OR397124,none
OR397124_0115,OR397124,none
OR397124_0116,OR397124,none
OR397124_0117,OR397124,none
OR397124_0118,OR397124,none
OR397124_0119,OR397124,none
OR397124_0120,OR397124,none
OR397124_0121,OR397124,none
OR397124_0122,OR397124,none
OR397124_0123,OR397124,none
OR397124_0124,OR397124,none
OR397124_0125,OR397124,none
OR397124_0126,OR397124,none
OR397124_0127,OR397124,none
OR397124_0128,OR397124,none
OR397124_0129,OR397124,none
OR397124_0130,OR397124,none
OR397124_0131,OR397124,none
OR397124_0132,OR397124,none
OR397124_0133,OR397124,none
OR397124_0134,OR397124,none
OR397124_0135,OR397124,none
OR397124_0136,OR397124,none
OR397124_0137,OR397124,none
OR397124_0138,OR397124,none
OR397124_0139,OR397124,none
OR397124_0140,OR397124,none
OR397124_0141,OR397124,none
OR397124_0142,OR397124,none
OR397124_0143,OR397124,none
OR397124_0144,OR397124,none
OR397124_0145,OR397124,none
OR397124_0146,OR397124,none
OR397124_0147,OR397124,none
OR397124_0148,OR397124,none
OR397124_0149,OR397124,none
OR397124_0150,OR397124,none
OR397124_0151,OR397124,none
OR397124_0152,OR397124,none
OR397124_0153,OR397124,none
OR397124_0154,OR397124,none
OR397124_0155,OR397124,none
OR397124_0156,OR397124,none
OR397124_0157,OR397124,none
OR397124_0158,OR397124,none
OR397124_0159,OR397124,none
OR397124_0160,OR397124,none
OR397124_0161,OR397124,none
OR397124_0162,OR397124,none
OR397124_0163,OR397124,none
OR397124_0164,OR397124,none
OR397124_0165,OR397124,none
OR397124_0166,OR397124,none
OR397124_0167,OR397124,none
OR397124_0168,OR397124,none
OR397124_0169,OR397124,none
OR397124_0170,OR397124,none
OR397124_0171,OR397124,none
OR397124_0172,OR397124,none
OR397124_0173,OR397124,none
OR397124_0174,OR397124,none
NC_007917_0001,NC_007917,none
NC_007917_0002,NC_007917,none
NC_007917_0003,NC_007917,none
NC_007917_0004,NC_007917,none
NC_007917_0005,NC_007917,none
NC_007917_0006,NC_007917,none
NC_007917_0007,NC_007917,none
NC_007917_0008,NC_007917,none
NC_007917_0009,NC_007917,none
NC_007917_0010,NC_007917,none
NC_007917_0011,NC_007917,none
NC_007917_0012,NC_007917,none
NC_007917_0013,NC_007917,none
NC_007917_0014,NC_007917,none
NC_007917_0015,NC_007917,none
NC_007917_0016,NC_007917,none
NC_007917_0017,NC_007917,none
NC_007917_0018,NC_007917,none
NC_007917_0019,NC_007917,none
NC_007917_0020,NC_007917,none
NC_007917_0021,NC_007917,none
NC_007917_0022,NC_007917,none
NC_007917_0023,NC_007917,none
